epoch,train_loss,train_acc,val_loss,val_acc
1,0.731578691670152,0.7475409836065574,0.6780901551246643,0.8
2,0.283744565580712,0.9081967213114754,3.561245796415541,0.5777777777777777
3,0.22186888226720153,0.9311475409836065,1.823153199089898,0.7777777777777778
4,0.1447419976601835,0.9540983606557377,0.3426791568597158,0.8888888888888888
5,0.3281917208530864,0.921311475409836,3.276035181681315,0.4888888888888889
6,0.39259834719485925,0.8721311475409836,3.881437577141656,0.6
7,0.3670346052920232,0.8852459016393442,5.517728349897596,0.4888888888888889
8,0.25550295540788137,0.9245901639344263,0.742311429977417,0.8444444444444444
9,0.09701529726630352,0.980327868852459,0.40335294736756216,0.8888888888888888
10,0.13485262115470698,0.9770491803278688,0.1624617079893748,0.9555555555555556
