epoch,train_loss,train_acc,val_loss,val_acc
1,0.45826721356296146,0.8163934426229508,12.3728271484375,0.37777777777777777
2,0.27198600847212995,0.9278688524590164,14.95585929022895,0.4222222222222222
3,0.35119136557227276,0.8754098360655738,1.5323838684293958,0.7333333333333333
4,0.2800416130511487,0.9147540983606557,2.0459104749891495,0.6222222222222222
5,0.28731307133299405,0.9245901639344263,0.49136380255222323,0.8888888888888888
6,0.13827807512439666,0.9606557377049181,0.5428182703442872,0.8666666666666667
7,0.08940492797581875,0.9704918032786886,0.7763539719912741,0.8222222222222222
8,0.1341638898018931,0.9672131147540983,0.7762451251347859,0.8222222222222222
9,0.13480904180495465,0.9508196721311475,0.7131646474202474,0.8666666666666667
10,0.12894324047155067,0.9606557377049181,0.5780954590688149,0.8444444444444444
